Date	SNB	SNB 1D volatility	SNB 3D volatility	SNB 5D volatility	SNB 5D volatility	SNB 5D volatility	SNB 5D volatility	SNB	SNB 1D volatility	SNB 3D volatility	SNB 5D volatility	SNB 5D volatility	SNB 5D volatility	SNB 5D volatility
2016-08-10	99.59718241373614	0.06555799147404531	0.0710524224839079	0.07115777010746004	0.07171923542507895	0.07117967938235047	0.07116422868036422	100.54233124114961	0.0696730237011875	0.07532530270293852	0.07501213207119034	0.07701593633502442	0.07529222913168447	0.07477654059396008
2016-08-11	99.48630212351016	0.06370033168547748	0.07003808270928205	0.06874767925770206	0.06804590336340069	0.06859353442598749	0.0689069243535292	100.42569983729197	0.0676674094523612	0.07409122755329235	0.07246876378608852	0.07306387309039745	0.07255362731224631	0.07240218499677176
2016-08-12	99.55947384256618	0.06158921948741754	0.06974347100547078	0.06665482243887126	0.06492866443233009	0.06635457686421795	0.06694134111585374	100.49559601065386	0.0654157775657633	0.07349206751372148	0.07019886797167699	0.06959177202241136	0.07011297170571174	0.07028069741891274
2016-08-15	99.45513735381482	0.059824054523411205	0.06765536960114239	0.06558766850287258	0.06337901203985215	0.06521734207783116	0.06593485340511161	100.35524880616633	0.06367262601739782	0.07135743605423805	0.069089797281817	0.06786126519494454	0.06891332964816675	0.06924987392814072
2016-08-16	98.47150473768089	0.07508717729729403	0.07185378960620048	0.07346271026371698	0.07460146737683308	0.07359732719156135	0.07335816571630915	99.38157706404938	0.0773090983822335	0.07524011279641792	0.07639920487109246	0.077992106512265	0.07664582958822322	0.07617985350017668
2016-08-17	98.56120617301517	0.07285307281743444	0.07462199008958713	0.07465536143314037	0.07535442957562814	0.07476233640892958	0.07456314274730114	99.45880836989276	0.07494751885484534	0.07786419954572246	0.07751010849556196	0.07854542323015477	0.07770713762275332	0.07732336917210442
2016-08-18	98.13827489769602	0.07277472704499545	0.07987748303221312	0.07748717622013974	0.07806183738416632	0.07762188675168318	0.07735490519916562	99.02779905352962	0.07474108348687825	0.08257615307259278	0.08022465391109466	0.08100903097157919	0.08042514017301983	0.08002062628128388
2016-08-19	98.36683234460783	0.07174204011043962	0.07718171219270975	0.07834002126256749	0.07790794591849863	0.07836599544760361	0.07828997267084811	99.26575248047986	0.07370855310268834	0.07978837904404305	0.08092614610968117	0.0805995842465922	0.08099805064689876	0.08082309343957218
2016-08-22	98.72887351537484	0.07207292300493824	0.07509551362350154	0.07656502917578323	0.07455518598613158	0.07637332071468561	0.07670096231233406	99.65131203205364	0.07420601262368753	0.07770794417093736	0.07889723778737066	0.07693159443946399	0.07873783734160689	0.0789936260683062
2016-08-23	98.7946583769203	0.06974873739703989	0.07582350163958207	0.07489560203917756	0.07306348523278808	0.07468111866030966	0.07506461107709987	99.71195576329377	0.07179439191692107	0.07847749395274975	0.07718305607002511	0.07538466802845867	0.0769993838552453	0.07731399907691056
2016-08-24	98.9193097358923	0.0677109645170741	0.07534246866422847	0.07329778841724739	0.07146223443074796	0.07305178494333411	0.07350406583898976	99.8343262338697	0.06966985179649389	0.07794484804187975	0.07557269323363659	0.073781702976391	0.07535896125471028	0.0757398007414046
2016-08-25	98.83437210683199	0.0655310914296053	0.07289400968777072	0.07313998711106713	0.07209254999463424	0.07298501755868286	0.07327537760516013	99.74919065106499	0.06741388849960404	0.07539907548999111	0.07543028197899866	0.07443550888621364	0.07530953160057167	0.07552466300173796
2016-08-26	99.53552157448604	0.07198522161004035	0.07359196062719034	0.07574626198881311	0.0765296423869061	0.0758595301017741	0.07564932264742767	100.46225368696486	0.07374707614880745	0.07596987106582856	0.07801433030374046	0.07882001028550628	0.07815840402832601	0.07787905959033661
2016-08-29	99.61187316222832	0.06956826344641845	0.07348214099685943	0.07565709982049076	0.07627300738758648	0.07577017691781544	0.07555603289328777	100.52753307394057	0.07125867454996593	0.07569840959281521	0.07773861475200848	0.07827837771167966	0.0778681249139336	0.07761177306456651
2016-08-30	99.92649322656145	0.06847399472885131	0.07648771398883113	0.07671078519445457	0.07740118614358818	0.0768705171390758	0.07656046258095343	100.85378062271431	0.07017323802400142	0.07854847912549315	0.07867650497086413	0.07924318600867646	0.0788451581429503	0.07850711299627995
2016-08-31	99.91751181688853	0.06623215860669496	0.07420006661517507	0.076462435857553	0.07643719615205265	0.07655252665106645	0.07636419643070169	100.83760048475074	0.06788593205955235	0.07616845425926602	0.07832151957431371	0.07813461304742539	0.07841426019046639	0.07820988339584946
2016-09-01	99.71688029297385	0.06513493938666781	0.07169729270030475	0.07539541010609273	0.07428711098532959	0.0753549184718626	0.07540403375873242	100.63466759706073	0.0666956631753509	0.07359584134518556	0.07716453777508687	0.07586621454001256	0.07712173777013985	0.07716430870693908
