time,price
1496534400,2484.64
1496620800,2634.99
1496707200,2860.57
1496793600,2778.01
1496880000,2758.0
1496966400,2844.0
1497052800,2879.0
1497139200,2940.48
1497225600,2550.01
1497312000,2709.77
1497398400,2540.73
1497484800,2326.49
1497571200,2518.53
1497657600,2651.91
1497744000,2494.28
1497830400,2557.52
1497916800,2768.0
1498003200,2681.7
1498089600,2716.6
1498176000,2725.0
1498262400,2528.21
1498348800,2496.64
1498435200,2345.05
1498521600,2412.99
1498608000,2559.33
1498694400,2573.99
1498780800,2519.89
1498867200,2439.99
1498953600,2489.98
1499040000,2553.98
1499126400,2564.55
1499212800,2618.15
1499299200,2603.78
1499385600,2528.95
1499472000,2545.49
1499558400,2538.6
1499644800,2407.0
1499731200,2315.65
1499817600,2385.22
1499904000,2347.23
1499990400,2199.9
1500076800,2078.0
1500163200,1866.02
1500249600,2123.24
1500336000,2359.95
1500422400,2234.99
1500508800,2648.87
1500595200,2629.0
1500681600,2810.86
1500768000,2761.85
1500854400,2772.73
1500940800,2489.99
1501027200,2471.42
1501113600,2565.11
1501200000,2751.9
1501286400,2736.58
1501372800,2718.07
1501459200,2837.44
1501545600,2775.38
1501632000,2707.87
1501718400,2789.99
1501804800,2826.57
1501891200,3256.0
1501977600,3261.49
1502064000,3356.0
1502150400,3431.98
1502236800,3331.01
1502323200,3410.0
1502409600,3539.0
1502496000,3872.0
1502582400,3961.43
1502668800,4212.99
1502755200,4044.57
1502841600,4299.0
1502928000,4306.4
1503014400,4119.67
1503100800,4054.4
1503187200,4088.4
1503273600,4014.21
1503360000,4089.61
1503446400,4100.0
1503532800,4227.62
1503619200,4324.84
1503705600,4323.69
1503792000,4354.9
1503878400,4341.84
1503964800,4584.86
1504051200,4550.0
1504137600,4719.85
1504224000,4870.0
1504310400,4605.89
1504396800,4550.0
1504483200,4250.97
1504569600,4412.81
1504656000,4608.52
1504742400,4602.71
1504828800,4197.2
1504915200,4276.3
1505001600,4293.55
1505088000,4197.67
1505174400,4164.85
1505260800,3850.0
1505347200,3359.0
1505433600,3682.02
1505520000,3692.97
1505606400,3704.76
1505692800,4016.21
1505779200,3897.97
1505865600,3948.46
1505952000,3631.81
1506038400,3595.93
1506124800,3770.0
1506211200,3694.97
1506297600,3926.0
1506384000,3908.26
1506470400,4183.39
1506556800,4152.0
1506643200,4162.95
1506729600,4318.07
1506816000,4289.17
1506902400,4407.0
1506988800,4272.02
1507075200,4206.26
1507161600,4355.35
1507248000,4338.01
1507334400,4338.92
1507420800,4583.97
1507507200,4780.0
1507593600,4861.47
1507680000,4831.09
1507766400,5289.74
1507852800,5502.0
1507939200,5694.2
1508025600,5492.8
1508112000,5720.28
1508198400,5628.32
1508284800,5390.69
1508371200,5627.36
1508457600,6045.0
1508544000,6027.05
1508630400,5872.0
1508716800,5930.87
1508803200,5685.0
1508889600,5655.0
1508976000,5892.8
1509062400,5741.45
1509148800,5781.82
1509235200,6145.39
1509321600,6079.9
1509408000,6343.37
1509494400,6595.94
1509580800,6974.49
1509667200,7294.0
1509753600,7458.0
1509840000,7528.0
1509926400,7001.17
1510012800,7108.89
1510099200,7342.0
1510185600,7208.6
1510272000,6490.6
1510358400,6253.03
1510444800,6176.06
1510531200,6390.01
1510617600,6530.0
1510704000,7142.5
1510790400,7820.0
1510876800,7835.0
1510963200,7756.0
1511049600,7970.0
1511136000,8190.79
1511222400,8249.0
1511308800,8145.11
1511395200,8129.0
1511481600,8243.26
1511568000,8610.11
1511654400,9350.45
1511740800,9499.96
1511827200,9949.37
1511913600,10310.68
1512000000,9639.17
1512086400,10482.2
1512172800,10900.01
1512259200,11725.0
1512345600,11189.39
1512432000,11690.0
1512518400,12828.06
1512604800,15715.2
1512691200,15029.98
1512777600,14074.4
1512864000,14930.55
1512950400,16438.0
1513036800,17254.45
1513123200,15999.5
1513209600,16351.39
1513296000,17749.0
1513382400,18727.47
